Authors,Date,Meteorological,Normal Temperature,Maximum Temperature,Average Temperature,Minimum Temperature,Relative Humidity,Absolute Humidity,Atmospheric Pressure,Evaporation,Dew Point,Wind Speed,Precipitation,UV Light,Socioeconomic ,Racial Inequality,Gender Inequality,,Residence Pattern,GDP per Capita,Population,Income Inequality,Human activity,Human Mobility,Air Pollution,Built Environment,Health,Comorbidity,Healthcare Capacity,Non-pharmaceutical Intervention,Health Inequality,Age,Gender Difference,AIR POLLUTION,Pollutant Standard Index,CO2,Air Quality Index,N2O
Abdel-Aal et al.,2021,,,,PT,,,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmad et al.,2020,,,,,,,,,,,,,,,,,,PT,,,,,,,PT,,,,,,,,,,,,
Ahmadi et al.,2020,,,,I,,,,,,,NT,I,NT,,,,,,,PC,,,,,,,,,,,,,,,,,
Aidoo et al.,2021,,,NT,PT,,NC,,PT,,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen & Ibrahim,2021,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,
Anil and Alagha,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,
Askitas et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNT,,,,,,,,
Auler et al.,2020,,,,PT,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babuna et al.,2021,,,,NT,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker et al.,2020,,,,PT,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baniasad et al.,2021,,,,,,,,,,,,,,,,,,,,,,,PT,,,,,,NC,,,,,PM,,,
Bashir et al.,2020,,,,SPTM,SPC,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,,PC,,SNCM,
Bassett et al.,2020,,,,,,,,,,,,,,,PM,,,,,,,,,,,,,,,,,,,,,,
Bherwani et al.,2020,,,,NT,,WPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
